user_id,event_name,timestamp,properties
user_451,page_view,2025-11-23T21:31:00.816Z,"{""page"":""/dashboard"",""ab_variant"":""control""}"
user_451,ab_exposure,2025-11-23T21:31:00.916Z,"{""experiment_id"":""hero_v2"",""variant"":""control""}"
user_451,baseline_started,2025-11-23T21:31:08.992Z,"{""variant"":""control""}"
user_316,page_view,2025-11-23T21:36:40.136Z,"{""page"":""/dashboard"",""ab_variant"":""control""}"
user_316,ab_exposure,2025-11-23T21:36:40.236Z,"{""experiment_id"":""hero_v2"",""variant"":""control""}"
user_316,baseline_started,2025-11-23T21:36:47.087Z,"{""variant"":""control""}"
user_351,page_view,2025-11-23T22:47:02.610Z,"{""page"":""/dashboard"",""ab_variant"":""control""}"
user_351,ab_exposure,2025-11-23T22:47:02.710Z,"{""experiment_id"":""hero_v2"",""variant"":""control""}"
user_130,page_view,2025-11-23T22:48:28.294Z,"{""page"":""/dashboard"",""ab_variant"":""hero_v2""}"
user_130,ab_exposure,2025-11-23T22:48:28.394Z,"{""experiment_id"":""hero_v2"",""variant"":""hero_v2""}"
user_130,baseline_started,2025-11-23T22:48:32.811Z,"{""variant"":""hero_v2""}"
user_223,page_view,2025-11-23T23:12:59.437Z,"{""page"":""/dashboard"",""ab_variant"":""hero_v2""}"
user_223,ab_exposure,2025-11-23T23:12:59.537Z,"{""experiment_id"":""hero_v2"",""variant"":""hero_v2""}"
user_223,baseline_started,2025-11-23T23:13:05.171Z,"{""variant"":""hero_v2""}"
user_223,baseline_completed,2025-11-23T23:15:33.016Z,"{""variant"":""hero_v2"",""type"":""quick""}"
user_223,first_quest_unlocked,2025-11-23T23:15:33.516Z,"{""variant"":""hero_v2""}"
user_223,first_quest_completed,2025-11-23T23:23:28.526Z,"{""variant"":""hero_v2"",""quest_id"":""quest-starter""}"
user_204,page_view,2025-11-23T23:34:49.107Z,"{""page"":""/dashboard"",""ab_variant"":""hero_v2""}"
user_204,ab_exposure,2025-11-23T23:34:49.207Z,"{""experiment_id"":""hero_v2"",""variant"":""hero_v2""}"
user_204,baseline_started,2025-11-23T23:34:52.690Z,"{""variant"":""hero_v2""}"
user_204,baseline_completed,2025-11-23T23:38:36.465Z,"{""variant"":""hero_v2"",""type"":""quick""}"
user_204,first_quest_unlocked,2025-11-23T23:38:36.965Z,"{""variant"":""hero_v2""}"
user_435,page_view,2025-11-24T00:17:52.714Z,"{""page"":""/dashboard"",""ab_variant"":""hero_v2""}"
user_435,ab_exposure,2025-11-24T00:17:52.814Z,"{""experiment_id"":""hero_v2"",""variant"":""hero_v2""}"
user_473,page_view,2025-11-24T00:28:38.368Z,"{""page"":""/dashboard"",""ab_variant"":""hero_v2""}"
user_473,ab_exposure,2025-11-24T00:28:38.468Z,"{""experiment_id"":""hero_v2"",""variant"":""hero_v2""}"
